src	dst	status	notes
2026-05-10.md	Daily/2026/05/2026-05-10.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
2026-05-14.md	Daily/2026/05/2026-05-14.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-05-06-current-cash-ra-a-accounts-20250505-20250505.md	Areas/Personal Finance/Journal/2025/05/2025-05-06-current-cash-ra-a-accounts-20250505-20250505.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-10-08-a111-amstel111-owner-update-condensed.md	Areas/Personal Finance/Journal/2025/10/2025-10-08-a111-amstel111-owner-update-condensed.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-11-01-dutch-money-optimisation-playbook.md	Areas/Personal Finance/Journal/2025/11/2025-11-01-dutch-money-optimisation-playbook.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-11-02-chatgemini.md	Areas/Personal Finance/Journal/2025/11/2025-11-02-chatgemini.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-11-02-chatthinking.md	Areas/Personal Finance/Journal/2025/11/2025-11-02-chatthinking.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2025-11-02-claudethinking.md	Areas/Personal Finance/Journal/2025/11/2025-11-02-claudethinking.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-01-prd-thomas-finance-dashboard-v2-feature-set.md	Areas/Personal Finance/Journal/2026/04/2026-04-01-prd-thomas-finance-dashboard-v2-feature-set.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-06-finance-backup-2026-04-06.md	Archive/Junk/web-code-artifacts/2026-04-06-finance-backup-2026-04-06.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-06-personal-finance-dashboard-prd.md	Areas/Personal Finance/Journal/2026/04/2026-04-06-personal-finance-dashboard-prd.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-11-finance-backup-2026-04-11.md	Archive/Junk/web-code-artifacts/2026-04-11-finance-backup-2026-04-11.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-11-portfolio-strategy.md	Areas/Personal Finance/Journal/2026/04/2026-04-11-portfolio-strategy.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-15-finance-backup-2026-04-15.md	Archive/Junk/web-code-artifacts/2026-04-15-finance-backup-2026-04-15.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-15-finance-labels.md	Archive/Junk/web-code-artifacts/2026-04-15-finance-labels.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-15-two-file-prd-authoring-plan.md	Areas/Personal Finance/Journal/2026/04/2026-04-15-two-file-prd-authoring-plan.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-16-personal-finance-dashboard-user-manual.md	Areas/Personal Finance/Journal/2026/04/2026-04-16-personal-finance-dashboard-user-manual.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	Areas/Personal Finance/Journal/2026/04/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-21-changelog.md	Areas/Personal Finance/Journal/2026/04/2026-04-21-changelog.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-22-codex-pr-body.md	Areas/Personal Finance/Journal/2026/04/2026-04-22-codex-pr-body.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-23-execution-playbook-mvp-sprint.md	Areas/Personal Finance/Journal/2026/04/2026-04-23-execution-playbook-mvp-sprint.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-23-ideas-finance-tracker.md	Areas/Personal Finance/Journal/2026/04/2026-04-23-ideas-finance-tracker.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-23-prd-equity-section-automatic-investment-tracking.md	Areas/Personal Finance/Journal/2026/04/2026-04-23-prd-equity-section-automatic-investment-tracking.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	Areas/Personal Finance/Journal/2026/04/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-24-codex-synced-branch.md	Archive/Junk/web-code-artifacts/2026-04-24-codex-synced-branch.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	Areas/Personal Finance/Journal/2026/04/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	Areas/Personal Finance/Journal/2026/04/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
