path	bucket	proposed_new_path	reason	confidence
2026-05-10.md	daily-note	Daily/2026/05/2026-05-10.md	root-level dated	high
2026-05-14.md	daily-note	Daily/2026/05/2026-05-14.md	root-level dated	high
Welcome.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/_index.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/Hotelschool/Values Hotelschool Maastricht.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/Hotelschool/_index.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/Informatica/PO Makelaardij.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/Informatica/_index.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/ZUYD/Periodic Report 1.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/Periodic Report 2.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/Periodic Report Sept24.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/_index.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/ZUYD/BPI/Interview Guide.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/Questions.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/Research Structure.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/SIPOC.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/Standard Task Description.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/_index.md	keep-in-place		index/system file	high
Archive/Areas/Work/Education/ZUYD/BPI/Interviews/Rowin 20-09.md	keep-in-place		already in Archive	high
Archive/Areas/Work/Education/ZUYD/BPI/Interviews/_index.md	keep-in-place		index/system file	high
Archive/Projects/Hotel Investment/_index.md	keep-in-place		index/system file	high
Archive/Projects/Hotel Investment/Due Diligence/AI Implementation Phase 1.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Due Diligence/AI Implementation Plan.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Due Diligence/AI Plan Hospitality.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Due Diligence/DNR VO Process.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Due Diligence/_index.md	keep-in-place		index/system file	high
Archive/Projects/Hotel Investment/Financial Models/Lease vs Franchise.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Financial Models/Models.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Financial Models/Occupancy BB.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Financial Models/_index.md	keep-in-place		index/system file	high
Archive/Projects/Hotel Investment/Research/Investment Memorandum.md	keep-in-place		already in Archive	high
Archive/Projects/Hotel Investment/Research/_index.md	keep-in-place		index/system file	high
Areas/_index.md	keep-in-place		index/system file	high
Areas/finance/2025-05-06-current-cash-ra-a-accounts-20250505-20250505.md	area-note	Areas/Personal Finance/Journal/2025/05/2025-05-06-current-cash-ra-a-accounts-20250505-20250505.md	dated finance	high
Areas/finance/2025-10-08-a111-amstel111-owner-update-condensed.md	area-note	Areas/Personal Finance/Journal/2025/10/2025-10-08-a111-amstel111-owner-update-condensed.md	dated finance	high
Areas/finance/2025-11-01-dutch-money-optimisation-playbook.md	area-note	Areas/Personal Finance/Journal/2025/11/2025-11-01-dutch-money-optimisation-playbook.md	dated finance	high
Areas/finance/2025-11-02-chatgemini.md	area-note	Areas/Personal Finance/Journal/2025/11/2025-11-02-chatgemini.md	dated finance	high
Areas/finance/2025-11-02-chatthinking.md	area-note	Areas/Personal Finance/Journal/2025/11/2025-11-02-chatthinking.md	dated finance	high
Areas/finance/2025-11-02-claudethinking.md	area-note	Areas/Personal Finance/Journal/2025/11/2025-11-02-claudethinking.md	dated finance	high
Areas/finance/2026-04-01-prd-thomas-finance-dashboard-v2-feature-set.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-01-prd-thomas-finance-dashboard-v2-feature-set.md	dated finance	high
Areas/finance/2026-04-06-finance-backup-2026-04-06.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-06-finance-backup-2026-04-06.md	code/web file low-conf	high
Areas/finance/2026-04-06-personal-finance-dashboard-prd.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-06-personal-finance-dashboard-prd.md	dated finance	high
Areas/finance/2026-04-11-finance-backup-2026-04-11.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-11-finance-backup-2026-04-11.md	code/web file low-conf	high
Areas/finance/2026-04-11-portfolio-strategy.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-11-portfolio-strategy.md	dated finance	high
Areas/finance/2026-04-15-finance-backup-2026-04-15.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-15-finance-backup-2026-04-15.md	code/web file low-conf	high
Areas/finance/2026-04-15-finance-labels.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-15-finance-labels.md	code/web file low-conf	high
Areas/finance/2026-04-15-two-file-prd-authoring-plan.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-15-two-file-prd-authoring-plan.md	dated finance	high
Areas/finance/2026-04-16-personal-finance-dashboard-user-manual.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-16-personal-finance-dashboard-user-manual.md	dated finance	high
Areas/finance/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	dated finance	high
Areas/finance/2026-04-21-changelog.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-21-changelog.md	dated finance	high
Areas/finance/2026-04-22-codex-pr-body.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-22-codex-pr-body.md	dated finance	high
Areas/finance/2026-04-23-execution-playbook-mvp-sprint.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-23-execution-playbook-mvp-sprint.md	dated finance	high
Areas/finance/2026-04-23-ideas-finance-tracker.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-23-ideas-finance-tracker.md	dated finance	high
Areas/finance/2026-04-23-prd-equity-section-automatic-investment-tracking.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-23-prd-equity-section-automatic-investment-tracking.md	dated finance	high
Areas/finance/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	dated finance	high
Areas/finance/2026-04-24-codex-synced-branch.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-24-codex-synced-branch.md	code/web file low-conf	high
Areas/finance/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	dated finance	high
Areas/finance/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	dated finance	high
Areas/finance/2026-04-25-finance-backup-2026-04-25.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-25-finance-backup-2026-04-25.md	code/web file low-conf	high
Areas/finance/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	dated finance	high
Areas/finance/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	dated finance	high
Areas/finance/2026-04-30-package.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-30-package.md	code/web file low-conf	high
Areas/finance/2026-04-30-portfolio-overhaul-test-report.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-30-portfolio-overhaul-test-report.md	dated finance	high
Areas/finance/2026-04-30-prd-portfolio-feature-overhaul.md	area-note	Areas/Personal Finance/Journal/2026/04/2026-04-30-prd-portfolio-feature-overhaul.md	dated finance	high
Areas/finance/2026-04-30-settingslocal.md	junk-binary	Archive/Junk/web-code-artifacts/2026-04-30-settingslocal.md	code/web file low-conf	high
Areas/finance/2026-05-06-chrome.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-chrome.md	code/web file low-conf	high
Areas/finance/2026-05-06-dashboard-ui-kit.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-06-dashboard-ui-kit.md	dated finance	high
Areas/finance/2026-05-06-extrascreens.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-extrascreens.md	code/web file low-conf	high
Areas/finance/2026-05-06-icon.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-icon.md	code/web file low-conf	high
Areas/finance/2026-05-06-index.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-06-index.md	dated finance	high
Areas/finance/2026-05-06-kit.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-kit.md	code/web file low-conf	high
Areas/finance/2026-05-06-overlays.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-overlays.md	code/web file low-conf	high
Areas/finance/2026-05-06-screens.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-screens.md	code/web file low-conf	high
Areas/finance/2026-05-06-viteconfig.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-06-viteconfig.md	code/web file low-conf	high
Areas/finance/2026-05-07-claudemd.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-claudemd.md	dated finance	high
Areas/finance/2026-05-07-component-specs-keep-dashboard.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-component-specs-keep-dashboard.md	dated finance	high
Areas/finance/2026-05-07-eslintconfig.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-07-eslintconfig.md	code/web file low-conf	high
Areas/finance/2026-05-07-handoff-verification-checklist.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-handoff-verification-checklist.md	dated finance	high
Areas/finance/2026-05-07-index.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-index.md	dated finance	high
Areas/finance/2026-05-07-launch.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-07-launch.md	code/web file low-conf	high
Areas/finance/2026-05-07-package-lock.md	junk-binary	Archive/Junk/web-code-artifacts/2026-05-07-package-lock.md	code/web file low-conf	high
Areas/finance/2026-05-07-personal-finance-dashboard.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-personal-finance-dashboard.md	dated finance	high
Areas/finance/2026-05-07-screen-acceptance-keep-dashboard.md	area-note	Areas/Personal Finance/Journal/2026/05/2026-05-07-screen-acceptance-keep-dashboard.md	dated finance	high
Areas/finance/2026-05-08-chart-vendor-doy70yrx.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-chart-vendor-doy70yrx.md	dev artifact folder	high
Areas/finance/2026-05-08-index-cgldgdip.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-index-cgldgdip.md	dev artifact folder	high
Areas/finance/2026-05-08-index-csi9tfv7.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-index-csi9tfv7.md	dev artifact folder	high
Areas/finance/2026-05-08-index.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-index.md	dev artifact folder	high
Areas/finance/2026-05-08-recharts-btd9jxd1.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-recharts-btd9jxd1.md	dev artifact folder	high
Areas/finance/2026-05-08-xlsx-d-0l8yds.md	junk-binary	Archive/Junk/dev-artifacts/2026-05-08-xlsx-d-0l8yds.md	dev artifact folder	high
Areas/finance/_index.md	keep-in-place		index/system file	high
Areas/personal/2020-02-27-2018-06-13-nachtje-door-halen.md	daily-note	Daily/2020/02/2020-02-27-2018-06-13-nachtje-door-halen.md	dated personal/journal	high
Areas/personal/2020-02-27-chapter-uno.md	daily-note	Daily/2020/02/2020-02-27-chapter-uno.md	dated personal/journal	high
Areas/personal/2020-03-30-you.md	daily-note	Daily/2020/03/2020-03-30-you.md	dated personal/journal	high
Areas/personal/2020-04-16-i-guess-this-is-my-life.md	daily-note	Daily/2020/04/2020-04-16-i-guess-this-is-my-life.md	dated personal/journal	high
