path	title	source_file	source_type	confidence	date	tags	first_body_line
2026-05-10.md							
2026-05-14.md							
Welcome.md	ThomasVault				"2026-05-10"		# Welcome to ThomasVault
Archive/Areas/Work/Education/_index.md	Education				"2026-05-10"		# Education
Archive/Areas/Work/Education/Hotelschool/Values Hotelschool Maastricht.md	Values Hoterschool Maastricht				"2026-05-10"		| Values: | What this value means to me: | Anecdote: | The connection with hospitality |
Archive/Areas/Work/Education/Hotelschool/_index.md	Hotelschool				"2026-05-10"		# Hotelschool
Archive/Areas/Work/Education/Informatica/PO Makelaardij.md	PO makelaardij wie wil wat				"2026-05-10"		Het verhaal van Aad Schepers.
Archive/Areas/Work/Education/Informatica/_index.md	Informatica				"2026-05-10"		# Informatica
Archive/Areas/Work/Education/ZUYD/Periodic Report 1.md	Periodic Report 1 MNG internship   Thomas Wielinga				"2026-05-10"		**1st and 2nd Periodic reports**  
Archive/Areas/Work/Education/ZUYD/Periodic Report 2.md	Periodic Report 2 MNG internship   Thomas Wielinga				"2026-05-10"		**1st and 2nd Periodic reports**  
Archive/Areas/Work/Education/ZUYD/Periodic Report Sept24.md	Periodic Report   Management Internship starting Sept24 (1)				"2026-05-10"		**1st and 2nd Periodic reports**  
Archive/Areas/Work/Education/ZUYD/_index.md	ZUYD				"2026-05-10"		# ZUYD
Archive/Areas/Work/Education/ZUYD/BPI/Interview Guide.md	Interview Guide				"2026-05-10"		Interview Guide / Questions Per stakeholder
Archive/Areas/Work/Education/ZUYD/BPI/Questions.md	Questions BPI interview				"2026-05-10"		The following phases for hotel exploitation provide a clear overview for the to be interviewed stakeholders:
Archive/Areas/Work/Education/ZUYD/BPI/Research Structure.md	Research Structure				"2026-05-10"		**Part 1: Process Identification** 
Archive/Areas/Work/Education/ZUYD/BPI/SIPOC.md	SIPOC				"2026-05-10"		| S: Suppliers | I: Inputs | P: Proces | O: Outputs | C: Customers |
Archive/Areas/Work/Education/ZUYD/BPI/Standard Task Description.md	Toelichting Standaardtaakbeschrijving 2014 1				"2026-05-10"		Toelichting Standaardtaakbeschrijving 2014 1.1 Wat is een taak? Een ondeelbare hoeveelheid werk Een ‘taak’ is in de STB 
Archive/Areas/Work/Education/ZUYD/BPI/_index.md	BPI				"2026-05-10"		# BPI
Archive/Areas/Work/Education/ZUYD/BPI/Interviews/Rowin 20-09.md	Rowin 20 09				"2026-05-10"		**Rowin 20-09-\[AudioTrimmer.com\]**  
Archive/Areas/Work/Education/ZUYD/BPI/Interviews/_index.md	Interviews				"2026-05-10"		# Interviews
Archive/Projects/Hotel Investment/_index.md	Hotel Investment				"2026-05-10"		# Hotel Investment
Archive/Projects/Hotel Investment/Due Diligence/AI Implementation Phase 1.md	Aedes AI Implementation Phase 1				"2026-05-10"		# **Phase 1 AI Implementation Report: Foundation & Enablement for Aedes**
Archive/Projects/Hotel Investment/Due Diligence/AI Implementation Plan.md	AI Implementation Phase One Plan				"2026-05-10"		# **The Aedes AI Phase-1 Strategic Blueprint: A Foundational Roadmap for Value-Driven Adoption**
Archive/Projects/Hotel Investment/Due Diligence/AI Plan Hospitality.md	AI Plan for Hospitality Team				"2026-05-10"		# **Strategic AI & ChatGPT Implementation Plan for a Hospitality Portfolio**
