path	filename	ext	date_in_name	has_frontmatter	incoming_links	size_bytes	mtime	parent_folder
2026-05-10.md	2026-05-10.md	md	2026-05-10	N	1	0	2026-05-10	
2026-05-14.md	2026-05-14.md	md	2026-05-14	N	0	0	2026-05-14	
Untitled 1.canvas	Untitled 1.canvas	canvas		N	0	2	2026-05-10	
Untitled 2.canvas	Untitled 2.canvas	canvas		N	0	2	2026-05-14	
Untitled.base	Untitled.base	base		N	0	39	2026-05-10	
Untitled.canvas	Untitled.canvas	canvas		N	0	2	2026-05-10	
Welcome.md	Welcome.md	md		Y	0	2802	2026-05-14	
Archive/Areas/Work/Education/_index.md	_index.md	md		Y	36	796	2026-05-14	Archive/Areas/Work/Education
Archive/Areas/Work/Education/Hotelschool/Values Hotelschool Maastricht.md	Values Hotelschool Maastricht.md	md		Y	2	3798	2026-05-10	Archive/Areas/Work/Education/Hotelschool
Archive/Areas/Work/Education/Hotelschool/_index.md	_index.md	md		Y	36	243	2026-05-10	Archive/Areas/Work/Education/Hotelschool
Archive/Areas/Work/Education/Informatica/PO Makelaardij.md	PO Makelaardij.md	md		Y	2	15947	2026-05-10	Archive/Areas/Work/Education/Informatica
Archive/Areas/Work/Education/Informatica/_index.md	_index.md	md		Y	36	228	2026-05-10	Archive/Areas/Work/Education/Informatica
Archive/Areas/Work/Education/ZUYD/Periodic Report 1.md	Periodic Report 1.md	md		Y	2	207638	2026-05-10	Archive/Areas/Work/Education/ZUYD
Archive/Areas/Work/Education/ZUYD/Periodic Report 2.md	Periodic Report 2.md	md		Y	2	23494	2026-05-10	Archive/Areas/Work/Education/ZUYD
Archive/Areas/Work/Education/ZUYD/Periodic Report Sept24.md	Periodic Report Sept24.md	md		Y	2	7321	2026-05-10	Archive/Areas/Work/Education/ZUYD
Archive/Areas/Work/Education/ZUYD/_index.md	_index.md	md		Y	36	557	2026-05-10	Archive/Areas/Work/Education/ZUYD
Archive/Areas/Work/Education/ZUYD/BPI/Interview Guide.md	Interview Guide.md	md		Y	3	3488	2026-05-10	Archive/Areas/Work/Education/ZUYD/BPI
